Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
-4.2	-6.2	-56.8	4.59999999999999	0.4	-0.6	1.2	14.4	9.4	59	-0.2	-6.6	-4.2	-56.8	0.4	0.4	16.4	0	-0.2	-1.8	0	-1.2	0	0	0.6	14.8	0	0	-0.4	-0.4	1	0.6	0.6	19.2	-0.2	1
-4.4	-5	-57	8.07999999999999	0	-0.8	2	21	0.8	11.6	0	-5.4	-4.4	-57	0	1	29.2	0	-0.6	-2.8	0	-2	0	0	0.8	22.4	0	0	-0.8	-0.8	0.2	-0.2	0.8	26.4	0	-11
-6	-7.2	-59.4	34.02	0	-0.4	2.2	19.4	2.2	23	0.6	-8	-6	-59.4	0	0.8	21.8	0	-0.4	0	0	-2.2	0	0	0.4	18.2	0	0	-0.2	-0.2	0	-0.2	0.2	-8	0.2	24
-1.8	-5	-27	34.36	-0.2	-0.6	3.2	27.4	6	23.2	1	-5.6	-1.8	-27	-0.2	1.4	30.8	0	-1	-5.6	0	-3.4	0	0	0.6	8.2	0	0	-0.2	-0.2	0.6	0.4	0.2	-1	0	8
-2	-5	-34.8	24.08	-0.2	-0.6	1.6	20	2.6	-6.2	0.8	-5.2	-2	-34.8	-0.2	1.2	27.8	0	-0.8	4.8	0	-1.8	0	0	0.6	11	0	0	-0.2	-0.2	0.6	0.8	0.4	11.4	0	3
-1.2	-3	-42.6	-2.76000000000002	-0.6	0	0	5.8	2.6	-4	1	-2.8	-1.2	-42.6	-0.6	1	23	0	-0.4	5	0	-0.2	0	0	0	-2	0	0	0	0	0.4	0.4	-0.4	-8.8	0	-10
0.8	-1.6	-7.6	0.639999999999982	-0.8	0.2	-0.6	-0.2	4.6	1.8	1.2	-1.4	0.8	-7.6	-0.8	0.4	8.2	0	0.6	8.8	0	0.4	0	0	-0.2	-14.6	0	0	0	0	0.8	0.8	-1	-30.8	0	-3
4	2.2	24.8	-26.72	-0.6	0	-1.2	-4.6	5.4	-10.4	1.2	2.4	4	24.8	-0.6	0.4	3.4	0	-0.2	3.6	0	1	0	0	0	-14.6	0	0	0	0	0.8	0.8	-1	-18.6	-0.2	24
2.4	4	-2	-41.42	-0.8	0.4	-2.2	-13.8	3.4	-11.4	1	4.8	2.4	-2	-0.8	0.2	-7.4	0	-0.2	12.4	0	2.2	0	0	-0.4	-6.4	0	0	-0.2	-0.2	1.6	1.2	-1.2	-17.8	0	5
6	8	40.8	-26.8	-0.8	0.4	-1.2	-10	1.4	-8	0.6	8.6	6	40.8	-0.8	0.6	-0.4	0	-0.4	3.8	0	1.4	0	0	-0.4	-3.6	0	0	-0.6	-0.6	2.2	1.6	-1.8	-39.8	0	-5
7.8	8	88.2	-2.78000000000002	-0.2	-0.4	-1.4	-13.4	8.2	16.2	0.6	9.4	7.8	88.2	-0.2	0.2	-8.4	0	0.4	17.8	0	1.8	0	0	0.4	8.4	0	0	-0.6	-0.6	3.6	3	-2.4	-84.2	0	17
8.4	9.4	96	-1.02000000000002	0.4	-0.2	-1.2	-13.2	11.4	31.8	0	11	8.4	96	0.4	0.2	-7.8	0	0.8	26	0	1.6	0	0	0.2	1.6	0	0	-0.4	-0.4	3	3	-2.4	-88.2	0	-4
4.6	6.4	50.6	-27.16	0	0	-0.6	-9	4.2	3	-0.4	8.2	4.6	50.6	0	0.8	9	0	-0.2	13.6	0	1	0	0	0	9.2	0	0	-0.8	-0.8	3	3	-1.2	-27.6	0	10
7.8	11.2	106.8	-32.76	0.2	0.8	0.8	3.8	-1	-33.4	-1	12.4	7.8	106.8	0.2	1	19.2	0	0.6	8.8	0	-0.4	0	0	-0.8	-3.2	0	0	-1	-1.2	2.2	2.6	-1.6	-58.4	0	-14
8.6	12.2	121	-47.7	0.8	1	1.2	6	-3.2	-47.2	-1.2	13	8.6	121	0.8	0.4	-8.6	-0.2	0.2	6	0	-1	0	0	-1	-6	0	0	-0.8	-1	1.6	2	-1.2	-44.2	0	-7
7	11.8	102.6	-37.64	0.6	0.8	2	13.8	-10.4	-65.8	-1.4	11.8	7	102.6	0.6	0.8	-12.2	-0.4	0.4	0	0	-2	0	0	-0.8	6	0	0	-0.8	-1	0.6	1	-0.8	-23.2	0	-4
