Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
-7	-12.8	-43.2	25	1	-1.2	1.2	5	6.4	54.6	-0.2	-13.2	-7	-43.2	1	0	-8.8	0	0.6	-5.6	0	-0.8	0	3.6	1.2	12.8	0	-0.2	0	0.4	-0.2	-0.2	0.2	5.4	0	9
-5.8	-11.4	-42.4	28.36	1.2	-1.4	-0.2	-8.8	7.6	60.8	-0.2	-12	-5.8	-42.4	1.2	-0.4	-20.8	0	0.4	-7.2	0	0.6	0.8	-0.6	1.4	12.8	0	-0.2	0.4	0.8	-0.2	-0.2	0.6	27.4	0	17
-3.2	-6.6	0.4	22.62	1.4	-0.8	0.4	-1.8	7.4	56.2	0	-7.8	-3.2	0.4	1.4	-0.4	-10	0	0	-10	0	0	-0.6	-2.2	0.8	11.6	0	-0.2	0.6	1	-0.8	-0.8	0	-1.8	0	-6
2	-0.8	39.4	29.34	2	-0.6	0.2	-2	12.8	66.2	-0.4	-1.4	2	39.4	2	-1	-27.4	0	0.2	-2.6	0	0	-5	-11	0.6	14.6	0	0	0.8	1.4	-0.6	-0.4	-0.6	-30.6	0	2
3.2	1.6	78	52.72	2	-0.6	0.6	3.4	7.2	25.4	-0.6	0.8	3.2	78	2	0	-9.6	0	0	8.4	0	-0.4	-2.2	-9.8	0.6	15.6	0	0	1.2	1.4	-0.2	0.2	-1	-43.6	0	19
6	6.4	94	41.34	0.6	0	0	0.4	6.4	21	0.2	5.4	6	94	0.6	0.4	-3	0	0.8	13.8	0	0.2	-3.4	-12.6	0	0.2	0	0	0.6	0.8	0.8	1	-1.6	-65.8	0	2
4.2	4.2	75	30.98	0.4	0	0	6	-2.6	-22.4	0.2	4	4.2	75	0.4	1	21	0	0.6	14.2	0	0.2	2	-3.4	0	6.4	0	0	0.6	0.8	0.4	0.8	-1.2	-44	0.2	6
1.2	-2	51.6	69.48	0.2	-0.6	-1	-5.8	-0.2	-6	0.6	-1.8	1.2	51.6	0.2	0.8	6.2	0	0.8	18.2	0	1.2	2.2	1	0.6	7.4	0	0	0.8	1.4	1	1.2	-1.2	-49.4	0.2	11
1.8	-3.6	63.8	94.74	0	-0.8	0	2	-1	14.6	1.4	-3.4	1.8	63.8	0	0.8	14.4	0	1.6	19	0	0.2	-0.2	3.8	0.8	10.6	0	0	1.6	2	1.8	1.8	-2	-77.2	0.2	33
0.4	-6.8	38.4	53.58	0.2	-0.6	-0.8	-7.2	1.6	21.2	1.4	-6.6	0.4	38.4	0.2	0	5.8	0	1.6	12.2	0	0.8	-1.2	5.2	0.6	8	0	0	1.6	2	1.6	1.4	-1.2	-55.4	0.2	21
3.4	-2.2	64.6	49.68	1.4	-0.4	0.8	1.8	-0.6	14	0.2	-2.2	3.4	64.6	1.4	-0.4	4.6	0	1.4	11.6	0	-0.8	-4.2	7.2	0.4	7	0	0	1.4	1.8	1	1	-1.6	-84	0.2	-3
5.8	0	69.8	57.08	1.6	-0.2	1	-2.2	9.2	65.4	0.4	-0.6	5.8	69.8	1.6	-1.4	-17	0	1.4	11.2	0	-1	-9.8	-4	0.2	0.8	0	0	1.4	2	1.2	1	-2	-116.6	0	20
8.2	5	75.8	24.64	1.8	0	1.4	3.8	12	52	0.2	4.6	8.2	75.8	1.8	-1.8	-23.4	0	1.2	0	0	-1.4	-13.2	-8.4	0	1.2	0	0	1.2	1.8	0.4	0.4	-1.8	-103.2	0	3
6.4	3.2	76.8	6.8	2	0.2	0.8	-1.6	12	41	-0.2	3	6.4	76.8	2	-2	-28.2	0	0.6	-2.4	0	-0.8	-10.6	-8.8	-0.2	-0.4	0	-0.2	1.4	2	-0.2	-0.4	-1.8	-103.6	0	28
7.6	7.2	74.4	19.78	1.4	-0.4	0.6	-1.6	6.8	14.2	-0.4	6.6	7.6	74.4	1.4	-1	-11.8	0	0.2	-9	0	-0.6	-8.6	-7.4	0.4	20.4	0	-0.2	0.8	1.4	0	-0.2	-1.6	-87.6	0	3
5.6	6.4	71.2	22.2	1.2	0	-1.2	-16.6	8.2	36.8	-0.2	5.4	5.6	71.2	1.2	-1.2	-23.8	0	0.6	-2.8	0	1.2	-7	-5.4	0	20	0	0	0.8	1.2	0.6	-0.2	-1.8	-83.4	0	-3
6.2	10	79.2	23.26	0.8	0.2	-0.8	-9.8	2.2	20.6	-0.4	8.4	6.2	79.2	0.8	-0.8	3.2	0	0.8	-3.8	0	0.8	-6.4	1	-0.2	11.4	0	0	0	0.2	1	0	-1.8	-74.2	0	-3
4	7.4	60.6	14.76	0.6	0.4	-1	-11.2	-2.2	34.2	-0.4	5.8	4	60.6	0.6	-0.6	8.2	0	0.8	4.2	0	1	-2.8	2.6	-0.4	10	0	0	0	0	1.2	0.2	-1.8	-74.6	0	-4
2	6	12.8	-25.96	0.6	0.2	-1	-10	-3.2	16.4	-0.4	6.2	2	12.8	0.6	0.2	21.6	0	0.8	4.2	0	1	-1.6	4.6	-0.2	10.2	0	0.2	-0.8	-0.8	1	0.2	-0.8	-31.6	0	-12
2.6	9.4	33.6	-47.38	1	0.8	-0.4	-4.2	-1.8	22.4	-1	4.8	2.6	33.6	1	-0.2	15.2	0	0.8	7.6	0	0.4	-2.6	2.8	-0.6	-9	0	0.2	-0.8	-0.8	0.8	0	-0.8	-26	0	-21
2	3.6	2.6	-81.7	0.6	0	0.4	5	1.2	13.4	-0.4	2.6	2	2.6	0.6	-0.2	15.8	0	0.2	0	0	-0.4	-0.8	0.4	-0.2	-8.6	0	0	-0.4	-0.4	0.4	0.2	-0.4	-14.6	0	1
-2.6	-5.4	-50.6	-100.32	0.4	-0.4	0	0	9.6	53.6	-0.2	0	-2.6	-50.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
-2.6	-6.2	-70.6	-133.64	0.4	-0.6	0	0	14.4	84	0.2	0	-2.6	-70.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
-3.2	-6.8	-67.4	-78.2	0.2	-0.8	0	0	19.6	119	0.4	0	-3.2	-67.4	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
-7.6	-19.2	-114.2	-14.7	0.2	-2.2	0	0	22.6	147.4	1.4	0	-7.6	-114.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
-5.8	-15.6	-78.2	57.52	0.4	-1.8	0	0	21.4	165	1	0	-5.8	-78.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
-1.8	-7.2	-42.4	61	0.4	-1.4	0	0	14	112	1	0	-1.8	-42.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6
-2.2	-10.6	-25.4	112.48	0.2	-1.4	0	0	16.4	125.6	1.2	0	-2.2	-25.4	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
-0.2	-9.2	-18.2	134.12	0.4	-1.8	0	0	8	82.2	0.8	0	-0.2	-18.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
2.2	-3.4	4.4	106.52	0.2	-1	0	0	9.4	82	0.8	0	2.2	4.4	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
1	-4.6	-13	72.22	0.2	-1.2	0	0	5.2	84.2	1.4	0	1	-13	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
1.6	-6.4	0.8	73.54	0.2	-1.2	0	0	5	98.2	1.4	0	1.6	0.8	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3
2	-0.6	12.6	69.98	0.8	-0.8	0	0	-5	9.4	0.2	0	2	12.6	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13
3	2	42.4	28.7	0.6	0.8	0	0	-7	2	-0.2	0	3	42.4	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17
1.6	-1	13.6	5.77999999999999	0.2	1.2	0	0	-6.2	15.4	0	0	1.6	13.6	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
-1	-3.2	2.2	-1.69999999999999	0.2	1.6	0	0	-4.2	9.6	-0.4	0	-1	2.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
-3.2	-4.4	-21.2	25.2	0.4	1.6	0	0	-4	-2.8	-0.4	0	-3.2	-21.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-2.2	-5.4	-29.2	31.24	-0.4	1.8	0	0	4.8	55.2	0.4	0	-2.2	-29.2	-0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4
-4.6	-8	-37.2	28.9	-0.4	0.8	0	0	14.6	107.2	1	0	-4.6	-37.2	-0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
-4.2	-6.8	-14.6	52.16	0	0	0	0	10	85.6	1	0	-4.2	-14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
1.2	-2.2	53	67.7	0.2	-0.2	0	0	12.8	100.2	1.4	0	1.2	53	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
4	1.4	83.4	59.2	0.2	-0.8	0	0	13.2	121.6	2	0	4	83.4	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
-0.2	-4.6	36.4	19.32	0.4	-1.2	0	0	9.2	133.6	2.2	0	-0.2	36.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
0	-4.2	5.2	-20.46	-0.2	-1	0	0	4	100	2.4	0	0	5.2	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4
1.6	1.2	-8.4	-49.46	-0.8	-0.2	0	0	3.6	104.4	2	0	1.6	-8.4	-0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8
-3.8	-5.4	-61	-37.2	-0.8	-0.4	0	0	3.8	101.8	2.2	0	-3.8	-61	-0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
-6	-8.8	-81.2	-65.94	-1	0.2	0	0	3.4	82.6	1.6	0	-6	-81.2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
-2.2	-1.8	-30.6	-45.2	-0.8	0.6	0	0	1.2	60.2	1	0	-2.2	-30.6	-0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9
-1.8	0.2	-29	-36.6	-0.2	0.8	0	0	-5.4	27.6	-0.4	0	-1.8	-29	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35
-3.4	-3.6	-3.2	-39.02	0.4	0.8	0	0	-10.2	-5	-0.8	0	-3.4	-3.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-11
-3.2	-4	-22.6	-48.52	0	0.8	0	0	-10.4	-14.6	-1	0	-3.2	-22.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
-1.8	-0.2	-24.4	-38.7	0.2	1.4	0	0	-6.8	0.8	-1.6	0	-1.8	-24.4	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-21
-2.4	-5	-40.8	-22.88	0.2	1	0	0	-4.4	-0.2	-1	0	-2.4	-40.8	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
2	-0.8	14.8	-9.04	0	1.2	0	0	-0.4	16.4	-0.2	0	2	14.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17
-0.2	-4.6	-63.8	-8.4	-0.8	0.8	0	0	9.8	67.8	0.6	0	-0.2	-63.8	-0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1.4	0.4	-41.2	-11.52	-0.6	1	0	0	2.2	36.6	-0.4	0	1.4	-41.2	-0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17
0.8	-2.6	-21	6	-0.6	0	0	0	-4.2	0.6	-0.4	0	0.8	-21	-0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4
1.2	-0.2	-17.8	-29.1	-0.6	0	0	0	-0.2	25.2	-0.6	0	1.2	-17.8	-0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
-2.6	-4.8	-50	-26.42	-0.4	-0.4	0	0	0.4	23.8	-0.2	0	-2.6	-50	-0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
1.6	1	6.8	-81.26	0.2	0.4	0	0	-7.4	4.2	-0.8	0	1.6	6.8	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10
0.8	-0.6	-11.6	-98.46	0.4	0.2	0	0	-2.6	11	-0.4	0	0.8	-11.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
-0.4	-3.2	-37.2	-108.06	0.6	-0.4	0	0	-0.8	29.6	0	0	-0.4	-37.2	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	-3.8	-37.8	-104.82	0.2	-0.2	0	0	-3.8	-5.6	0.4	0	0	-37.8	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
-0.4	-4.6	-49.4	-63.18	0.2	-0.4	0	0	-2.8	13.6	0.4	0	-0.4	-49.4	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
-1.4	-5.2	-39	1.81999999999999	0	-1	0	0	3.2	19.2	1	0	-1.4	-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
0	-3.2	-18.2	12.6	0	-0.4	0	0	3.4	16.4	0.6	0	0	-18.2	0	0.4	6.8	0	0	3.2	0	0	0	0	0.2	3.4	0	0	0.6	0.6	0.4	0.4	-0.2	-13	0	-4
2.6	0.6	20.6	19.66	-0.4	0.4	0	0	6.2	12.2	1	0	2.6	20.6	-0.4	0.4	6.8	0	0	3.2	0	0	0	0	0.2	3.4	0	0	0.6	0.6	0.4	0.4	-0.2	-13	0	3
2.2	1.4	15.2	37.68	-0.4	0.6	0	0	0.8	-15.4	0.2	0	2.2	15.2	-0.4	0.4	6.8	0	0	3.2	0	0	0	0	0.2	3.4	0	0	0.6	0.6	0.4	0.4	-0.2	-13	0	-30
4.8	3.8	27	-20.06	-0.6	0.8	0	0	0.8	-30	0	0	4.8	27	-0.6	0.4	6.8	0	0	3.2	0	0	0	0	0.2	3.4	0	0	0.6	0.6	0.4	0.4	-0.2	-13	0	-13
6.2	4.2	48.8	12.78	-0.2	1.6	0	0	-0.4	-22.6	-0.6	0	6.2	48.8	-0.2	0.4	6.8	0	0	3.2	0	0	0	0	0.2	3.4	0	0	0.6	0.6	0.4	0.4	-0.2	-13	0	3
7	3.8	57.6	29.48	-0.4	0.4	0	0	-1.8	-14.6	0.6	0	7	57.6	-0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
6.8	2	39.2	22.12	-0.2	0.4	0	0	-1.8	-5	0.6	0	6.8	39.2	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
4.8	-1.6	42.2	18.84	0	0.2	0	0	3.6	36.6	1.2	0	4.8	42.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
1	-8.2	31.6	49.06	0.4	-0.4	0	0	10	75	1.8	0	1	31.6	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
-0.8	-9.6	-8	13.96	0	-1.4	0	0	12.6	71.2	2.2	0	-0.8	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
-2	-10.2	-18.8	-3.42	0.2	0	0	0	16.6	86	1.8	0	-2	-18.8	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
-5.4	-12	-51.6	-6.18	-0.2	1.2	0	0	11.4	78.2	1.4	0	-5.4	-51.6	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20
-4.6	-8.2	-64.2	-23.66	-0.4	1.4	0	0	6.6	55.4	0.8	0	-4.6	-64.2	-0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-22
-1	-0.8	-43.8	-52.66	-0.8	1.8	0	0	-1.2	22	0.2	0	-1	-43.8	-0.8	0.2	4.4	0	0.6	10.2	0	0	0	0	0	0	0	0	-0.2	-0.2	0.8	0.2	-0.2	-6.6	0	-2
-0.4	1.2	-12.4	-32.68	-0.4	2.2	0	0	-4.2	12	0	0	-0.4	-12.4	-0.4	0.8	14	0	0.8	12	0	0	0	0	0	-1.4	0	0	0	0	1	0	-1	-39.4	0	4
0	0.4	-14.4	-12.02	-0.6	1.4	0	0	-4	0	-0.2	0	0	-14.4	-0.6	0.4	3	0	1	9.8	0	0	0	0	0.2	4.4	0	0	0.2	0.2	1.4	0.6	-0.6	-33.6	0	18
2.4	2.4	1	-21.42	-0.4	0.8	0	0	0.6	-1.6	-0.6	0	2.4	1	-0.4	1.2	18.2	0	0.6	11	0	0	0	0	-0.4	-2.6	0	0	-0.4	-0.4	0.8	0.4	-0.4	-19	-0.2	-24
4.4	4.6	22.8	-0.840000000000005	0	0.6	0	0	-2.2	-28	-0.6	0	4.4	22.8	0	1.8	30.8	0	0.2	8.6	0	0	0	0	-0.6	-7	0	0	-0.6	-0.6	0.2	0	0.2	6.2	-0.4	-13
1.8	-1	-5.2	30.06	0.2	0.4	0	0	5.6	-1.6	-0.2	0	1.8	-5.2	0.2	1	49.6	0.2	-1.2	-3.2	0	0	0	0	-0.4	-5.8	0	0	0.2	0.2	-0.2	0	-0.2	2.6	-0.4	24
4.4	-2.8	17.2	50.88	0.8	0.4	0	0	5.6	6.4	0	0	4.4	17.2	0.8	-0.6	17.6	0.2	-1.8	-6.2	0	0	0	0	-0.4	7.2	0	0	1	1	-0.8	0	0.4	29.4	-0.4	32
5.8	-0.6	46.2	76.72	0.8	0.4	0	0	5.4	31.2	0.8	0	5.8	46.2	0.8	-1	6.6	0.2	-2.2	-6.2	0	0	0	0	-0.4	1.4	0	0	1.8	1.8	-1	-0.6	-0.8	-10.8	-0.4	35
4.2	-2.8	43	119.54	1	-0.4	0	0	4.4	32	1	0	4.2	43	1	-1.6	-1.8	0.2	-1.6	7.4	0.2	0	0	0	0.4	7.6	0	0	2.4	2.4	-0.2	-0.4	-0.8	-23.6	-0.2	0
2	-7.6	42	103.52	1	-0.8	0	0	11.8	85	1.4	0	2	42	1	-2.6	-41.2	0.2	-1.8	5.6	0.2	0	0	0	0.8	20	0	0	2.8	2.8	0.4	0.2	-0.8	-12.4	0	10
2	-5.2	48	99.7	0.8	-0.8	0	0	7.8	77.4	1.4	0	2	48	0.8	-2.4	-68.6	0	-1.6	1.4	0.2	0	0	0	0.8	20.4	0	0	2.4	2.4	0.6	0.2	-0.4	-3.4	0	10
0	-2.8	35	31.8	0	-1.2	0	0	5.6	45.4	1	0	0	35	0	-1.4	-35.2	0	-1	6.6	0.2	0	0	0	1.2	21.4	0	0	1.2	1.2	1.2	0.8	-0.2	-4.6	0	1
-2.4	-2.4	-1.2	-22.76	-0.4	-0.6	0	0	1.8	9.4	0.4	0	-2.4	-1.2	-0.4	-0.2	8.2	0	-1	-0.6	0.2	0	0	0	0.6	18.4	0	0	0.2	0.2	0.8	0.6	0.4	17.4	0	-3
-0.4	1.8	35.8	-47.76	-0.2	0	0	0	-1.4	-13.2	0.2	0	-0.4	35.8	-0.2	0	8.4	0	-1.8	-25.4	0	0	0	0	0	6.6	0	0	0	0	0.4	0.4	0.4	30.8	0	-16
-1	3.2	23.8	-40.16	-0.2	0	0	0	-1	-18	0.4	0	-1	23.8	-0.2	0.4	35	0	-1.6	-29.2	0	0	0	0	0.2	3.6	0	0	0.2	0.2	0	0.2	0	12.6	0	14
1	6.8	30.8	-62.86	0.2	0.6	0	0	-5.6	-34	-0.4	0	1	30.8	0.2	1.4	60	0	-0.4	-16	0	0	0	0	-0.4	-15	0	0	-0.4	-0.4	-0.6	0	-0.6	-23.8	0	-14
0.4	5.2	-1.6	-19.48	0	1.4	0	0	-6.6	-35.2	-0.4	0	0.4	-1.6	0	1.6	70.2	0	-0.4	-20.6	0	0	0	0	-1.2	-36.2	0	0	-0.6	-0.6	-1.2	-0.6	-0.6	-19.4	0	-19
1.8	5.4	6.6	-24.36	0.4	1.2	0	0	-10.2	-58	-1	0	1.8	6.6	0.4	1.8	80.6	0	-0.2	-12	0	0	0	0	-1	-35.2	0	0	-1	-1	-0.8	-0.4	-0.4	-6.4	0	-14
2.4	5.8	9.8	-30.52	0.4	1	0	0	-11.4	-56.2	-1	0	2.4	9.8	0.4	1.8	85.2	0	0.6	-3.4	0	0	0	0	-0.8	-25.2	0	0	-1	-1	-0.6	-0.4	-0.8	-21.2	0	-10
6.2	9.6	38.2	-25.6	0.4	1.4	0	0	-13	-80.8	-1.6	0	6.2	38.2	0.4	1.8	89.4	0	0.8	2.6	0	0	0	0	-1.4	-32.8	0	0	-1.4	-1.4	0	-0.2	-1.4	-54.4	0	-3
2.8	4.8	10	-7.8	0.2	1	0	0	-14.2	-85.8	-1.6	0	2.8	10	0.2	1.8	98	0.2	-0.4	-10.8	0	0	0	0	-1	-15.8	0	0	-1.2	-1.2	0.4	0	-0.4	-1.6	0	-4
0.4	-0.4	-11.8	-24.64	0.6	0.8	0	0	-16.2	-82.8	-1.6	0	0.4	-11.8	0.6	1.8	92.4	0.2	-0.8	-17.8	0	0	0	0	-0.8	-9.4	0	0	-0.8	-0.8	0.8	-0.2	-0.4	3.6	0	-6
-3.6	-5.6	-35.6	-21.62	0.4	0.2	0	0	-5.8	-35	-1.2	0	-3.6	-35.6	0.4	1.2	67.4	0.2	-0.8	-17	0	0	0	0	-0.2	1.6	0	0	-0.4	-0.4	1.4	0.2	-0.8	-11	0	6
-9.2	-11.2	-112.8	-39.5	-0.4	0.2	0	0	-5.2	-36.2	-1.2	0	-9.2	-112.8	-0.4	1.8	92.6	0.2	-1.6	-19.2	0	0	0	0	-0.2	-14	0	0	-1.2	-1.2	1	0.2	0.4	35.8	0	-38
-13.8	-17.8	-169.2	-35.34	-0.4	0	0	0	-2.6	-15.4	-0.8	0	-13.8	-169.2	-0.4	2	98	0.2	-1.6	-17.4	0	0	0	0	0	-7.8	0	0	-1	-1	0.8	0	1	58.4	0	7
-11.4	-14.4	-130.8	-23.36	0	0.4	0	0	-1	-17	-1	0	-11.4	-130.8	0	1.2	55.4	0	-1	-5	0	0	0	0	-0.4	1	0	0	-1	-1	0.4	0	0.6	26.8	0	-4
-10.6	-10.2	-150.2	-35	-0.6	0.2	0	0	3.4	13.4	-0.6	0	-10.6	-150.2	-0.6	1	37.8	0	-1.4	0.4	0	0	0	0	-0.2	3.2	0	0	-1.2	-1.2	0.4	0.6	0.8	32	0	-4
-7.4	-6.4	-141.6	-19.56	-0.2	0.4	0	0	-6.6	-25.8	-1	0	-7.4	-141.6	-0.2	1.2	39.4	0	-1.6	-5	0	0	0	0	-0.4	-5.8	0	0	-1.2	-1.2	-0.6	-0.4	1.4	53.6	0	-9
-5	-3.6	-107.6	9	0.6	0.2	0	0	-5.6	3	-0.8	0	-5	-107.6	0.6	0.8	28	0	-1.2	-13.8	-0.2	0	0	0	-0.2	16	0	0	-0.4	-0.4	-0.4	-0.4	0.6	15.2	0	-10
-3.4	-0.2	-51.6	0.140000000000001	0.6	0.2	0	0	-7.2	-11.8	-0.8	0	-3.4	-51.6	0.6	0.4	18.2	0	-1	-17.8	-0.2	0	0	0	-0.2	12.4	0	0	-0.4	-0.4	-0.2	-0.2	0.6	12.6	0	10
-2.2	1.4	-28.6	23.24	0.4	0.6	0	0	-4.8	-3	-0.4	0	-2.2	-28.6	0.4	0.8	35.4	0	-0.6	-26	-0.2	0	0	0	-0.6	-0.6	0	0	-0.4	-0.4	-0.2	-0.4	0.2	-6.6	0	-5
-2.4	-1	-19.2	-5.04	0.4	0.4	0	0	-2.6	-15.4	-0.2	0	-2.4	-19.2	0.4	1	45.4	0	0.4	-2.6	0	0	0	0	-0.4	3.8	0	0	0	0	-0.6	-0.4	-0.2	-23	0	10
-2.4	0.8	-22	-48.72	-0.2	1.2	0	0	1	15.6	0	0	-2.4	-22	-0.2	1	42.6	0	0.8	4.8	0	0	0	0	-1.2	-15	0	0	-0.4	-0.4	-0.2	0.4	-1.4	-61.8	0	-11
-1	0.8	1.4	-21.88	0	1	0	0	7.4	20	0.4	0	-1	1.4	0	-0.2	2	0	1	20	0.2	0	0	0	-1	-12.2	0	0	0.4	0.4	0	0.6	-1.6	-72	0	21
0	-0.2	5.8	15.24	0.4	1	0	0	7	50.4	0.4	0	0	5.8	0.4	-0.2	-5.4	0	0.6	16.2	0.2	0	0	0	-1	-12.2	0	0	1	1	-0.4	0.4	-2.2	-86.4	0	28
-0.8	-4.6	-18.8	-4.9	0.4	-0.2	0	0	10.6	72	0.8	0	-0.8	-18.8	0.4	-0.8	-13.6	0	0.4	23.6	0.2	0	0	0	0.2	-4	0	0	1.4	1.4	-0.4	0.6	-1.8	-63	0	10
0.4	-2.6	-7.4	37.5	0.8	0.2	0	0	7.6	74.2	0	0	0.4	-7.4	0.8	-1.4	-24.2	0	0	4.6	0	0	0	0	-0.2	-8.4	0	0	1	1	0.2	0.8	-1	-33.2	0	-1
0.8	-3.8	14	102.64	0.8	-0.2	0	0	6	59.4	0.4	0	0.8	14	0.8	-1.2	-23.8	0	-0.4	-5	0	0	0	0	0.2	10.4	0	0	1.4	1.4	-0.2	0.2	0.2	7.6	0	-6
2	-4	-1	51.88	0.4	0	0	0	1.2	43	0.2	0	2	-1	0.4	-0.4	0	0	-0.4	-4.8	0	0	0	0	0	3	0	0	0.8	0.8	-0.2	0.4	0	5.8	0	3
4	-0.2	-8.2	26.82	0.2	0	0	0	-0.8	19.6	-0.2	0	4	-8.2	0.2	-0.8	-15.8	0	0.2	5.2	0	0	0	0	0	4.2	0	0	0	0	0.2	0.6	0.2	13	0	3
5.2	1.2	-3.6	1.36	0.4	0.8	0	0	-4.8	1.4	-0.6	0	5.2	-3.6	0.4	-0.2	-6	0	0.6	12.6	0	0	0	0	-0.8	-2.4	0	0	-0.2	-0.2	-0.2	0.4	0	13.6	0	0
